Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Precious Achiuwa,PF,21,MIA,44,2,12.9,2.2,3.9,.565,0.0,0.0,0,2.2,3.9,.565,.565,1.1,2.1,.500,1.3,2.4,3.6,0.5,0.3,0.5,0.8,1.5,5.4
Jaylen Adams,PG,24,MIL,7,0,2.6,0.1,1.1,.125,0.0,0.3,.000,0.1,0.9,.167,.125,0.0,0.0,0,0.0,0.4,0.4,0.3,0.0,0.0,0.0,0.1,0.3
Steven Adams,C,27,NOP,42,42,28.1,3.5,5.5,.628,0.0,0.1,.000,3.5,5.4,.636,.628,1.1,2.3,.474,3.9,5.0,9.0,2.0,0.9,0.7,1.5,2.0,8.0
Bam Adebayo,C,23,MIA,40,40,33.7,7.3,12.8,.566,0.1,0.2,.286,7.2,12.6,.570,.568,4.8,5.7,.838,2.3,7.1,9.4,5.3,0.9,1.2,2.8,2.3,19.4
LaMarcus Aldridge,C,35,SAS,21,18,25.9,5.5,11.8,.464,1.3,3.6,.360,4.2,8.2,.509,.518,1.5,1.8,.838,0.8,3.7,4.5,1.7,0.4,0.9,1.0,1.7,13.7
Ty-Shon Alexander,SG,22,PHO,4,0,2.5,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,.000,0.0,0.0,0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,0.0
Nickeil Alexander-Walker,SG,22,NOP,37,7,19.7,3.6,8.6,.417,1.5,4.4,.346,2.1,4.2,.490,.505,0.9,1.1,.805,0.3,2.6,2.9,1.9,1.0,0.5,1.3,1.8,9.6
Grayson Allen,SG,25,MEM,31,19,24.8,3.3,7.8,.416,2.1,5.2,.406,1.2,2.7,.434,.549,1.5,1.6,.902,0.4,2.9,3.3,2.1,1.1,0.2,1.0,1.3,10.1
Jarrett Allen,C,22,TOT,44,26,28.7,4.8,7.5,.633,0.1,0.3,.417,4.6,7.2,.642,.641,3.5,4.9,.704,3.0,6.9,9.9,1.7,0.5,1.7,1.5,1.6,13.1
Jarrett Allen,C,22,BRK,12,5,26.7,3.7,5.4,.677,0.0,0.0,0,3.7,5.4,.677,.677,3.8,5.1,.754,3.2,7.3,10.4,1.7,0.6,1.6,1.8,1.8,11.2
Jarrett Allen,C,22,CLE,32,21,29.4,5.2,8.3,.623,0.2,0.4,.417,5.0,7.9,.632,.632,3.3,4.8,.684,3.0,6.7,9.7,1.7,0.4,1.7,1.3,1.5,13.8
Al-Farouq Aminu,PF,30,TOT,18,14,21.1,2.0,5.0,.400,0.4,1.8,.219,1.6,3.2,.500,.439,0.9,1.1,.842,1.1,4.2,5.3,1.6,0.9,0.5,1.5,1.3,5.3
Al-Farouq Aminu,PF,30,ORL,17,14,21.6,2.1,5.2,.404,0.4,1.8,.226,1.7,3.4,.500,.444,0.8,1.0,.824,1.2,4.2,5.4,1.7,1.0,0.5,1.5,1.3,5.5
Kyle Anderson,PF,27,MEM,41,41,27.2,4.6,9.7,.479,1.4,3.7,.368,3.3,6.0,.547,.549,1.9,2.5,.762,0.8,4.9,5.7,3.4,1.2,0.7,1.3,1.6,12.5
Giannis Antetokounmpo,PF,26,MIL,42,42,34.0,10.3,18.4,.558,1.1,3.8,.300,9.1,14.6,.625,.589,6.6,9.8,.675,1.8,9.7,11.5,6.4,1.2,1.3,3.7,3.0,28.3
Kostas Antetokounmpo,PF,23,LAL,6,0,4.3,0.3,0.7,.500,0.0,0.0,0,0.3,0.7,.500,.500,0.3,0.7,.500,0.3,1.3,1.7,0.0,0.3,0.5,1.0,0.5,1.0
Thanasis Antetokounmpo,SF,28,MIL,33,1,9.6,1.3,2.3,.571,0.2,0.5,.353,1.2,1.8,.633,.610,0.3,0.7,.455,1.0,1.3,2.3,0.8,0.3,0.2,0.7,1.2,3.2
Carmelo Anthony,PF,36,POR,44,3,25.9,5.0,11.8,.419,1.8,4.6,.387,3.2,7.2,.440,.495,2.3,2.7,.863,0.5,2.8,3.3,1.7,0.8,0.7,1.0,2.3,14.0
Cole Anthony,PG,20,ORL,25,17,26.7,4.0,10.8,.375,1.1,3.3,.325,3.0,7.4,.398,.426,1.8,2.2,.836,0.8,3.6,4.4,3.8,0.7,0.4,2.0,2.0,11.0
OG Anunoby,SF,23,TOR,27,27,33.4,5.2,10.7,.484,2.3,5.6,.407,2.9,5.1,.568,.590,1.7,2.3,.754,1.4,4.3,5.8,1.7,1.7,0.7,1.6,2.9,14.3
Ryan Arcidiacono,PG,26,CHI,27,0,11.0,1.1,2.9,.385,0.6,1.7,.319,0.6,1.1,.484,.481,0.4,0.6,.750,0.1,1.4,1.6,1.2,0.3,0.0,0.2,1.1,3.2
D.J. Augustin,PG,33,TOT,42,6,19.5,2.1,5.5,.384,1.3,3.5,.372,0.8,1.9,.407,.504,1.1,1.2,.918,0.3,1.1,1.5,3.1,0.5,0.0,1.0,0.9,6.6
D.J. Augustin,PG,33,MIL,37,6,19.3,1.9,5.2,.370,1.3,3.5,.380,0.6,1.7,.349,.497,1.0,1.1,.900,0.3,1.1,1.4,3.0,0.5,0.0,0.9,0.9,6.1
Deni Avdija,SF,20,WAS,40,18,21.8,2.4,5.4,.433,1.0,3.0,.328,1.4,2.5,.561,.523,0.4,0.6,.625,0.4,4.1,4.5,1.2,0.6,0.2,0.7,2.7,6.1
Deandre Ayton,C,22,PHO,44,44,30.5,6.4,10.4,.611,0.1,0.4,.235,6.3,10.0,.626,.616,2.0,2.6,.763,3.3,7.6,10.9,1.5,0.4,1.1,1.7,3.1,14.8
Udoka Azubuike,C,21,UTA,12,0,4.1,0.3,0.6,.571,0.0,0.0,0,0.3,0.6,.571,.571,0.3,0.5,.667,0.3,0.8,1.1,0.0,0.1,0.3,0.3,0.7,1.0
Dwayne Bacon,SG,25,ORL,45,27,25.1,3.7,9.3,.398,1.0,3.0,.333,2.7,6.3,.429,.452,1.7,2.0,.835,0.3,2.6,2.8,1.2,0.5,0.1,0.7,1.6,10.1
Marvin Bagley III,PF,21,SAC,37,37,25.7,5.6,11.2,.502,0.9,2.6,.354,4.7,8.6,.547,.543,1.6,2.9,.560,2.5,5.0,7.4,0.9,0.5,0.5,1.3,2.4,13.9
LaMelo Ball,PG,19,CHO,41,21,28.6,5.8,12.8,.451,2.0,5.3,.375,3.8,7.6,.503,.528,2.4,3.0,.789,1.3,4.5,5.9,6.1,1.6,0.3,2.8,2.8,15.9
Lonzo Ball,PG,23,NOP,38,38,31.7,5.2,12.1,.425,3.0,7.8,.385,2.2,4.3,.497,.549,0.9,1.1,.767,0.6,3.6,4.2,5.6,1.3,0.6,2.0,2.0,14.2
Mo Bamba,C,22,ORL,23,0,10.7,2.0,4.3,.470,0.4,1.7,.263,1.6,2.7,.597,.520,0.3,0.7,.500,1.1,2.8,3.9,0.3,0.1,0.9,0.4,1.5,4.9
Desmond Bane,SG,22,MEM,39,10,22.2,3.5,7.2,.479,1.7,3.8,.453,1.7,3.4,.507,.598,0.6,0.8,.833,0.4,2.5,2.9,1.3,0.6,0.1,1.0,1.8,9.3
Harrison Barnes,PF,28,SAC,43,43,36.0,5.3,11.0,.486,1.5,4.1,.354,3.9,6.9,.566,.553,3.6,4.3,.828,1.1,5.6,6.7,3.6,0.7,0.2,1.5,1.3,15.7
RJ Barrett,SG,20,NYK,46,46,34.1,6.7,14.9,.445,1.2,3.5,.342,5.5,11.4,.477,.485,3.1,4.2,.734,1.2,5.0,6.2,3.1,0.7,0.2,2.0,2.6,17.6
Will Barton,SF,30,DEN,42,38,30.9,4.7,10.9,.434,1.7,4.6,.378,3.0,6.3,.475,.514,1.3,1.7,.753,0.7,3.4,4.0,3.0,0.9,0.5,1.7,1.6,12.5
Keita Bates-Diop,SF,25,SAS,16,0,7.4,0.7,2.0,.344,0.3,0.9,.333,0.4,1.1,.353,.422,0.4,0.6,.700,0.3,0.9,1.3,0.4,0.4,0.1,0.1,0.3,2.1
Nicolas Batum,SF,32,LAC,44,37,28.7,3.0,6.3,.466,1.8,4.3,.429,1.1,2.0,.544,.611,0.9,1.0,.848,0.8,4.0,4.8,2.4,1.1,0.3,0.8,1.7,8.6
Aron Baynes,C,34,TOR,42,29,18.6,2.5,5.8,.424,0.5,1.9,.247,2.0,3.9,.512,.465,0.5,0.8,.719,1.7,3.6,5.3,0.9,0.3,0.4,0.9,2.2,6.0
Kent Bazemore,SF,31,GSW,44,1,16.3,2.1,4.8,.441,0.9,2.4,.387,1.2,2.4,.495,.538,0.7,1.0,.682,0.4,2.5,2.9,1.5,0.8,0.5,1.1,2.1,5.9
Darius Bazley,PF,20,OKC,36,36,30.7,4.4,11.2,.392,1.5,5.2,.290,2.9,6.0,.479,.459,1.6,2.3,.704,0.6,6.9,7.5,1.5,0.5,0.6,1.8,0.9,11.9
Bradley Beal,SG,27,WAS,41,41,35.5,11.0,22.6,.485,2.2,6.5,.338,8.8,16.1,.544,.533,7.2,8.0,.902,1.1,3.9,5.0,4.8,1.2,0.4,3.3,2.5,31.3
Malik Beasley,SG,24,MIN,34,33,33.0,7.5,16.7,.448,3.5,8.8,.399,4.0,7.9,.502,.553,1.9,2.2,.851,0.8,3.8,4.6,2.5,0.9,0.2,1.6,1.6,20.3
Jordan Bell,C,26,WAS,3,1,16.7,1.7,5.0,.333,0.0,0.7,.000,1.7,4.3,.385,.333,0.0,0.0,0,1.7,3.7,5.3,1.7,0.3,1.0,1.0,1.3,3.3
DeAndre' Bembry,SF,26,TOR,32,7,17.1,2.0,3.7,.534,0.3,0.9,.321,1.7,2.8,.600,.572,0.5,0.8,.680,0.5,1.9,2.4,1.9,0.7,0.3,1.0,1.6,4.8
Dāvis Bertāns,PF,28,WAS,35,3,24.7,3.2,8.2,.389,2.8,7.3,.382,0.4,1.0,.441,.557,1.7,1.9,.853,0.4,2.5,2.9,0.9,0.6,0.2,0.6,2.5,10.8
Patrick Beverley,PG,32,LAC,29,29,23.8,2.8,6.2,.442,1.7,4.1,.420,1.0,2.1,.484,.580,1.1,1.3,.795,0.9,2.8,3.7,2.1,0.9,0.8,0.9,3.1,8.3
Saddiq Bey,SF,21,DET,43,26,24.7,3.4,8.5,.405,2.3,5.8,.386,1.2,2.7,.447,.538,1.6,1.8,.870,0.6,3.6,4.2,1.3,0.6,0.1,0.7,1.7,10.7
Tyler Bey,SF,22,DAL,8,0,3.3,0.4,1.1,.333,0.0,0.1,.000,0.4,1.0,.375,.333,0.3,0.5,.500,0.5,0.8,1.3,0.1,0.0,0.1,0.0,0.4,1.0
Khem Birch,C,28,ORL,44,2,20.1,2.0,4.3,.466,0.1,0.4,.211,1.9,3.9,.494,.476,1.4,1.9,.741,2.6,2.7,5.3,1.1,0.7,0.6,0.5,1.4,5.6
Goga Bitadze,C,21,IND,25,0,9.6,1.6,3.4,.476,0.2,1.1,.179,1.4,2.2,.625,.506,0.7,1.0,.708,1.0,1.5,2.5,0.3,0.2,1.1,0.4,1.5,4.1
Bismack Biyombo,C,28,CHO,42,23,21.8,2.3,4.0,.577,0.0,0.0,.000,2.3,4.0,.581,.577,0.8,1.7,.486,2.1,3.3,5.4,1.3,0.3,1.2,1.0,2.4,5.5
Nemanja Bjelica,PF,32,SAC,26,1,16.9,2.7,5.8,.460,0.7,2.2,.293,2.0,3.5,.565,.517,1.2,1.6,.762,0.9,2.9,3.8,1.9,0.3,0.1,1.1,1.8,7.2
Eric Bledsoe,SG,31,NOP,44,43,29.5,4.1,9.8,.418,1.7,4.8,.362,2.4,5.1,.471,.506,1.5,2.2,.660,0.4,3.0,3.4,3.8,0.7,0.3,1.5,1.6,11.4
Keljin Blevins,SF,25,POR,9,0,5.2,0.2,1.2,.182,0.0,0.4,.000,0.2,0.8,.286,.182,0.0,0.0,0,0.0,0.2,0.2,0.4,0.2,0.0,0.3,0.4,0.4
Bogdan Bogdanović,SG,28,ATL,20,3,23.3,3.8,9.1,.412,2.0,5.9,.339,1.8,3.2,.547,.522,0.7,0.8,.933,0.4,2.9,3.3,2.4,0.6,0.2,1.0,2.1,10.2
Bojan Bogdanović,SF,31,UTA,45,45,30.2,4.8,11.6,.414,2.4,6.3,.384,2.4,5.3,.450,.518,2.7,3.1,.871,0.5,3.3,3.8,1.8,0.5,0.0,1.5,1.6,14.8
Bol Bol,PF,21,DEN,19,2,5.4,0.8,1.7,.485,0.4,0.8,.438,0.5,0.9,.529,.591,0.2,0.4,.571,0.0,0.8,0.8,0.3,0.1,0.3,0.5,0.5,2.3
Marques Bolden,C,22,CLE,6,0,4.8,0.2,0.5,.333,0.0,0.0,0,0.2,0.5,.333,.333,0.8,1.3,.625,0.5,0.5,1.0,0.0,0.3,0.3,0.3,0.0,1.2
Jordan Bone,PG,23,ORL,14,0,14.0,1.6,3.9,.426,0.7,2.3,.313,0.9,1.6,.591,.519,0.0,0.0,0,0.3,1.4,1.7,1.3,0.1,0.0,0.2,0.8,4.0
Isaac Bonga,SF,21,WAS,29,7,11.9,0.8,2.0,.390,0.4,1.2,.314,0.4,0.8,.500,.483,0.1,0.2,.500,0.6,1.4,2.0,0.6,0.2,0.2,0.5,1.7,2.1
Devin Booker,SG,24,PHO,40,40,33.8,9.3,18.7,.494,2.0,5.7,.351,7.3,13.0,.557,.547,4.4,5.2,.841,0.3,3.8,4.1,4.6,0.9,0.3,3.3,2.8,24.9
Chris Boucher,C,28,TOR,45,3,23.4,4.8,9.0,.528,1.5,3.7,.412,3.3,5.4,.607,.612,2.4,3.2,.762,1.8,4.5,6.3,1.0,0.5,1.9,0.7,2.7,13.5
Brian Bowen,SF,22,IND,3,0,2.7,0.3,0.7,.500,0.0,0.0,0,0.3,0.7,.500,.500,0.3,0.3,1.000,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.3,1.0
Avery Bradley,SG,30,MIA,10,1,21.1,3.1,6.6,.470,1.6,3.8,.421,1.5,2.8,.536,.591,0.7,0.9,.778,0.2,1.6,1.8,1.4,0.7,0.1,0.9,2.6,8.5
Tony Bradley,C,23,PHI,20,8,14.4,2.6,3.8,.680,0.0,0.1,.000,2.6,3.7,.689,.680,0.4,0.6,.636,2.0,3.3,5.2,0.9,0.3,0.7,0.3,1.4,5.5
Jarrell Brantley,PF,24,UTA,14,0,2.6,0.5,1.0,.500,0.3,0.6,.444,0.2,0.4,.600,.643,0.0,0.0,0,0.1,0.4,0.5,0.1,0.2,0.1,0.1,0.4,1.3
Ignas Brazdeikis,SF,22,NYK,4,0,1.8,0.0,0.3,.000,0.0,0.0,0,0.0,0.3,.000,.000,0.5,0.5,1.000,0.3,0.3,0.5,0.3,0.0,0.0,0.3,0.0,0.5
Mikal Bridges,SF,24,PHO,44,44,32.5,4.9,9.4,.527,1.8,4.4,.415,3.1,5.0,.626,.624,1.7,2.1,.835,1.2,3.7,4.8,2.4,0.8,0.9,0.9,1.5,13.4
Miles Bridges,PF,22,CHO,44,2,26.3,3.6,7.3,.495,1.2,3.3,.378,2.4,4.0,.591,.580,1.1,1.2,.907,1.2,4.4,5.6,2.0,0.6,0.7,1.5,2.2,9.5
Malcolm Brogdon,PG,28,IND,42,42,35.4,8.2,17.7,.462,2.7,6.5,.407,5.5,11.1,.495,.538,2.4,2.8,.864,0.8,3.9,4.7,5.9,1.1,0.2,2.2,1.9,21.4
Dillon Brooks,SF,25,MEM,40,40,29.1,6.1,15.2,.399,1.8,5.7,.322,4.2,9.5,.446,.460,2.2,2.6,.853,0.9,2.1,2.9,2.4,1.3,0.4,1.9,3.4,16.1
Bruce Brown,PG,24,BRK,42,26,21.0,3.4,6.3,.543,0.2,1.0,.250,3.2,5.4,.596,.562,1.2,1.6,.721,1.5,2.9,4.5,1.4,0.7,0.3,0.8,2.1,8.3
Jaylen Brown,SG,24,BOS,43,43,34.0,9.3,19.1,.484,2.6,6.7,.392,6.7,12.5,.534,.552,3.4,4.5,.762,1.1,4.5,5.6,3.7,1.2,0.5,2.8,2.9,24.5
Moses Brown,C,21,OKC,16,5,17.5,3.3,5.3,.619,0.0,0.0,0,3.3,5.3,.619,.619,1.8,3.1,.592,2.8,5.1,7.9,0.3,0.5,1.1,0.8,1.9,8.3
